pergunta,resposta
Pergunta: Qual é o papel do Scanner Bi na legislação da Universidade Federal do Amazonas?,"
Resposta: O Scanner Bi é um equipamento de digitalização utilizado para garantir a segurança e integridade dos documentos acadêmicos, conforme determinado pela legislação da Universidade Federal do Amazonas. Ele é essencial para a autenticação e preservação dos registros universitários."
Pergunta: Quais são os princípios que norteiam a formação inicial e continuada dos profissionais do magistério segundo a Resolução mencionada?,"
Resposta: Os princípios que norteiam a formação dos profissionais do magistério incluem sólida formação teórica, interdisciplinaridade, trabalho coletivo, compromisso social, valorização profissional, gestão democrática e avaliação regulatória."
Pergunta: Quais as medidas tomadas pela Universidade Federal do Amazonas para garantir o controle do acervo bibliográfico?,"
Resposta: A Universidade Federal do Amazonas determinou, por meio de portaria, a obrigatoriedade de apresentação de documento ""nada consta"" das bibliotecas setoriais para os casos em que o corpo discente requerer grau, transferência, trancamento de matrícula ou mudança de curso. Além disso, definiu que em situações como aposentadoria, licenças e afastamentos do corpo docente, também é necessário comprovar quitação de débitos nas bibliotecas setoriais para evitar bloqueio na matrícula."
"Pergunta: Qual é o prazo máximo para a realização de um pedido de revisão de nota da prova final, de acordo com a legislação da Universidade Federal do Amazonas?","
Resposta: O prazo máximo para realizar um pedido de revisão de nota da prova final é de até dez dias após a divulgação do resultado da avaliação, conforme estabelecido nos procedimentos descritos na legislação da Universidade Federal do Amazonas."
Pergunta: Qual é o objetivo principal da resolução mencionada no texto?,"
Resposta: O objetivo principal da resolução é definir os limites de créditos que os alunos da Universidade Federal do Amazonas podem utilizar para custear suas despesas, tanto o limite máximo quanto o mínimo."
Pergunta: Quais são os documentos necessários para ocupar uma vaga em um curso de graduação na Universidade Federal do Amazonas?,"
Resposta: Os documentos necessários para ocupar uma vaga em um curso de graduação na Universidade Federal do Amazonas são diploma ou certificado de conclusão do ensino médio, histórico escolar, CPF, foto recente e demais documentos registrados pela secretaria de educação do estado."
Pergunta: Quais são os princípios fundamentais que norteiam as diretrizes curriculares nacionais para a formação de professores no nível superior?,"
Resposta: Os princípios fundamentais que norteiam as diretrizes curriculares nacionais para a formação de professores no nível superior incluem sólida formação teórica, interdisciplinaridade, compromisso social, valorização profissional, gestão democrática, avaliação e regulação dos cursos de formação."
Pergunta: Qual é o objetivo do Programa de Mobilidade Estudantil da Universidade Federal do Amazonas?,"
Resposta: O objetivo do Programa de Mobilidade Estudantil da Universidade Federal do Amazonas é permitir que instituições federais de ensino superior temporariamente interajam em disciplinas de graduação, possibilitando aos alunos cursarem disciplinas em outra instituição."
Pergunta: Quais são os documentos necessários para ocupar uma vaga em um curso na Universidade Federal do Amazonas?,"
Resposta: Os documentos necessários para ocupar uma vaga em um curso na Universidade Federal do Amazonas incluem diploma ou certificado de conclusão do ensino médio, CPF, além de outros documentos relacionados ao registro escolar. É importante seguir as orientações específicas da instituição e atender aos requisitos estabelecidos."
Pergunta: Qual é o órgão responsável pela legislação da Universidade Federal do Amazonas?,"
Resposta: A legislação da Universidade Federal do Amazonas é regida principalmente pelo Conselho Universitário (CONSUNI), órgão colegiado de natureza consultiva e deliberativa, responsável por aprovar normas e diretrizes acadêmicas, administrativas e disciplinares da instituição."
Pergunta: Quais são as diretrizes curriculares nacionais definidas pela resolução mencionada?,"
Resposta: As diretrizes curriculares nacionais abrangem a formação inicial e continuada de nível superior para cursos de licenciatura, formação pedagógica graduados, segunda licenciatura e formação continuada. Elas buscam garantir uma sólida formação teórica, interdisciplinar, trabalho coletivo, compromisso social e valorização profissional na educação."
Qual é o órgão responsável por aprovar as normas curriculares dos cursos superiores da Universidade Federal do Amazonas?,"Resposta: O Conselho de Ensino e Pesquisa da Universidade Federal do Amazonas é o órgão responsável por aprovar as normas curriculares dos cursos superiores, conforme estabelecido no documento mencionado."
Qual é o objetivo da resolução que regulamenta a aceleração de estudos na Universidade Federal do Amazonas?,"O objetivo da resolução é permitir que os estudantes regularmente matriculados na universidade possam acelerar seus estudos com base em um extraordinário aproveitamento, seguindo critérios e procedimentos específicos definidos no regulamento."
Pergunta: Qual é o objetivo principal da Lei que estabelece normas gerais e critérios básicos para a promoção da acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida?,"
Resposta: O principal objetivo da Lei é garantir a possibilidade e as condições de acesso, utilização com segurança e autonomia dos espaços públicos, mobiliários urbanos, edificações, meios de transporte e sistemas de comunicação por pessoas portadoras de deficiência ou mobilidade reduzida, mediante a supressão de barreiras e obstáculos."
Pergunta: Qual é o objetivo da resolução mencionada em relação à inclusão de disciplinas nos cursos de graduação da Universidade Federal do Amazonas?,"
Resposta: O objetivo da resolução é proporcionar maior flexibilidade curricular aos alunos, promover a incorporação de tecnologias educacionais e estratégias inovadoras no ensino, assim como mitigar a evasão nos cursos de graduação da Universidade Federal do Amazonas."
Pergunta: Qual é o documento que estabelece as normas e diretrizes gerais da Universidade Federal do Amazonas?,"
Resposta: O documento que estabelece as normas e diretrizes gerais da Universidade Federal do Amazonas é o Estatuto da instituição, que regulamenta aspectos como sua estrutura organizacional, competências dos órgãos superiores, funcionamento acadêmico e administrativo, entre outros pontos fundamentais para a gestão da universidade."
Qual é o objetivo das atividades complementares previstas na legislação da Universidade Federal do Amazonas?,"As atividades complementares têm como objetivo enriquecer a formação acadêmica dos estudantes, possibilitando a integração entre ensino, pesquisa e extensão, além de promover o desenvolvimento de competências e habilidades não contempladas na grade curricular regular dos cursos de graduação."
"Pergunta: Qual a instância responsável por estabelecer normas e regulamentos referentes ao ensino, pesquisa e extensão na Universidade Federal do Amazonas?","
Resposta: O Conselho de Ensino, Pesquisa e Extensão (CEPE) é a instância responsável por estabelecer normas e regulamentos referentes ao ensino, pesquisa e extensão na Universidade Federal do Amazonas."
Pergunta: Qual foi o objetivo do decreto n° abril mencionado no conteúdo apresentado?,"
Resposta: O decreto n° abril teve o objetivo de alterar artigos do decreto que regulamenta a Lei sobre o uso da informática pelo governo, promovendo ações relacionadas à promoção da saúde, ao esporte e outros temas relevantes para a sociedade."
Pergunta: Qual o procedimento para oferta de disciplinas em períodos especiais na Universidade Federal do Amazonas?,"
Resposta: O procedimento inclui a solicitação feita pela coordenação do curso, respeitando as limitações da carga horária e créditos das disciplinas oferecidas, indicando o professor responsável e o local da realização da disciplina. A matrícula é realizada pelo coordenador do curso no sistema acadêmico vigente, seguindo o calendário estabelecido e permitindo ajustes conforme necessário."
Pergunta: Quais são os princípios fundamentais da formação inicial e continuada do profissional magistério segundo a resolução mencionada?,"
Resposta: Os princípios fundamentais incluem sólida formação teórica, trabalho coletivo, compromisso social, gestão democrática, avaliação e regulação dos cursos de formação. Esses princípios visam garantir a qualidade e a valorização dos profissionais da educação."
Pergunta: Qual órgão é responsável por gerenciar recursos provenientes de empresas privadas na Universidade Federal do Amazonas?,"
Resposta: O Conselho do Centro de Ensino a Distância (EAD) é o órgão responsável por gerenciar recursos oriundos de empresas privadas na Universidade Federal do Amazonas, conforme o conteúdo fornecido."
Pergunta: Qual é a finalidade da Portaria que estabelece normas para coordenar curso de ensino na Universidade Federal do Amazonas?,"
Resposta: A Portaria tem como objetivo estabelecer as obrigatoriedades e diretrizes para o plano do curso, visando cumprir as políticas institucionais de ensino e pesquisa, além de garantir a qualidade do ensino e o acompanhamento dos resultados acadêmicos na instituição."
Pergunta: Quais são os objetivos da inclusão de disciplinas na modalidade de ensino à distância na Universidade Federal do Amazonas?,"
Resposta: Os objetivos da inclusão de disciplinas na modalidade de ensino à distância na Universidade Federal do Amazonas incluem desenvolver a cultura institucional em relação ao uso de tecnologias, promover maior flexibilização no processo de aprendizagem, possibilitar o desenvolvimento de competências autônomas e facilitar a incorporação de tecnologias pelos docentes."
Pergunta: Qual é a finalidade da resolução mencionada no conteúdo fornecido?,"
Resposta: A resolução tem como finalidade estabelecer normas internas relativas ao processo seletivo extra macro para ingresso em modalidades de transferência na Universidade Federal do Amazonas."
